Region of Incident,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Location Coordinates,Migration Route
Middle East,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Syria,"36.703737700000, 36.623072100000",Unknown
US-Mexico Border,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.965203600000, -113.011894500000",Central America to US
North Africa,2016,Mar,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","15.501534100000, 32.502556100000",Unknown
North Africa,2016,Mar,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","14.031672200000, 35.341772300000",Unknown
North Africa,2016,Mar,5.0,Unknown,5,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Egypt,"30.609673800000, 32.899326600000",Unknown
North Africa,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Egypt,"23.459686000000, 30.665449400000",Unknown
North Africa,2016,Mar,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","14.031672200000, 35.341772300000",Unknown
North Africa,2016,Mar,21.0,Unknown,21,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"23.248841300000, 19.724216100000",Unknown
North Africa,2016,Mar,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","12.052156400000, 24.874462400000",Unknown
North Africa,2016,Mar,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"27.029507800000, 14.389083500000",Unknown
North Africa,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","12.052156400000, 24.874462400000",Unknown
North Africa,2016,Mar,11.0,Unknown,11,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"23.248841300000, 19.724216100000",Unknown
North Africa,2016,Mar,5.0,Unknown,5,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","15.501534100000, 32.502556100000",Unknown
North Africa,2016,Mar,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","13.973173700000, 35.343169100000",Unknown
North Africa,2016,Mar,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Starvation,"Sahara desert, Sudan","14.031672200000, 35.341772300000",Unknown
North Africa,2016,Mar,10.0,Unknown,10,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"23.248841300000, 19.724216100000",Unknown
North Africa,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"30.272374300000, 19.074105200000",Unknown
North Africa,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","13.973173700000, 35.343169100000",Unknown
North Africa,2016,Mar,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Starvation,Libya,"27.029507800000, 14.389083500000",Unknown
North Africa,2016,Mar,8.0,Unknown,8,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"23.248841300000, 19.724216100000",Unknown
Mediterranean,2016,Mar,51.0,Unknown,51,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"32.884351900000, 13.150722800000",Central Mediterranean
US-Mexico Border,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,"Texas, USA","30.306258900000, -97.839848500000",Central America to US
Central America,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,Mexico,"26.003366800000, -100.538670800000",Central America to US
Central America,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,Mexico,"26.269030700000, -101.112897500000",Central America to US
Central America,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"20.129511000000, -104.468201400000",Central America to US
Mediterranean,2016,Mar,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Drowning,nan,"33.058823123634, 17.165613325000",Central Mediterranean
North Africa,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","20.670675600000, 24.074248000000",Unknown
US-Mexico Border,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.965203600000, -113.011894500000",Central America to US
Horn of Africa,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Somalia,"10.432537300000, 44.994641500000",Unknown
Horn of Africa,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Ethiopia,"12.994478700000, 36.182405400000",Unknown
North Africa,2016,Mar,6.0,Unknown,6,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","14.031672200000, 35.341772300000",Unknown
North Africa,2016,Mar,11.0,Unknown,11,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"23.248841300000, 19.724216100000",Unknown
North Africa,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Starvation,"Sahara desert, Sudan","12.052156400000, 24.874462400000",Unknown
North Africa,2016,Mar,20.0,Unknown,20,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"23.248841300000, 19.724216100000",Unknown
North Africa,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","12.052156400000, 24.874462400000",Unknown
North Africa,2016,Mar,5.0,Unknown,5,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"27.029507800000, 14.389083500000",Unknown
North Africa,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Suffocation,"Sahara desert, Sudan","15.501534100000, 32.502556100000",Unknown
North Africa,2016,Mar,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"23.248841300000, 19.724216100000",Unknown
Horn of Africa,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","14.801940600000, 36.070220600000",Unknown
North Africa,2016,Mar,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","22.390154600000, 31.551211600000",Unknown
North Africa,2016,Mar,6.0,Unknown,6,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","23.459686000000, 30.665449400000",Unknown
North Africa,2016,Mar,9.0,Unknown,9,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","17.723668500000, 33.805597800000",Unknown
Central America,2016,Mar,1.0,Unknown,1,Unknown,1.0,Unknown,1.0,Accident,Mexico,"25.381356100000, -100.790983400000",Central America to US
Mediterranean,2016,Mar,3.0,Unknown,3,750.0,Unknown,Unknown,Unknown,Unknown,Libya,"34.571998183552, 13.453452574665",Central Mediterranean
North Africa,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","18.026728400000, 33.975176600000",Unknown
Central America,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"16.474502000000, -93.253481100000",Central America to US
Mediterranean,2016,Mar,Unknown,8.0,8,5.0,Unknown,Unknown,Unknown,Drowning,Greece,"36.910782100000, 27.282852300000",Eastern Mediterranean
US-Mexico Border,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"California, USA","32.704147900000, -115.061691200000",Central America to US
Horn of Africa,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Somalia,"8.406657900000, 48.471357700000",Unknown
North Africa,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","15.627130900000, 32.300655700000",Unknown
North Africa,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","22.390154600000, 31.551211600000",Unknown
Central America,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"19.416779800000, -98.447110200000",Central America to US
Middle East,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,1.0,Sickness and lack of access to medicines,Syria,"36.423746000000, 36.574443600000",Unknown
Middle East,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Syria,"36.718882500000, 39.488952400000",Unknown
Mediterranean,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,1.0,Drowning,Spain,"35.286270300000, -2.950878100000",Western Mediterranean
North Africa,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","17.692227100000, 33.976249200000",Unknown
Middle East,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Syria,"36.681792000000, 36.623154000000",Unknown
Mediterranean,2016,Mar,5.0,2.0,7,9.0,Unknown,Unknown,3.0,Drowning,"Lesvos, Greece","39.490208500000, 26.393246100000",Eastern Mediterranean
Central America,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Asphyxiation,Mexico,"19.893747900000, -99.430004800000",Central America to US
US-Mexico Border,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","26.376354000000, -98.383347700000",Central America to US
Middle East,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Sickness and lack of access to medicines,Syria,"36.718882500000, 39.488952400000",Unknown
North Africa,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","14.031672200000, 35.341772300000",Unknown
Horn of Africa,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Ethiopia,"6.734966600000, 39.724021900000",Unknown
North Africa,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Egypt,"23.285107000000, 31.520455700000",Unknown
US-Mexico Border,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Weather conditions,"Arizona, USA","31.965203600000, -113.011894500000",Central America to US
US-Mexico Border,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.965203600000, -113.011894500000",Central America to US
North Africa,2016,Mar,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","23.459686000000, 30.665449400000",Unknown
Mediterranean,2016,Mar,25.0,Unknown,25,15.0,Unknown,Unknown,10.0,Drowning,Greece,"37.341163938766, 27.237263179687",Eastern Mediterranean
US-Mexico Border,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.965203600000, -113.011894500000",Central America to US
North Africa,2016,Mar,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","15.501534100000, 32.502556100000",Unknown
Mediterranean,2016,Mar,Unknown,20.0,20,Unknown,2.0,Unknown,Unknown,Unknown,Spain,"36.841526800000, -2.474626200000",Western Mediterranean
US-Mexico Border,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.965203600000, -113.011894500000",Central America to US
US-Mexico Border,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.965203600000, -113.011894500000",Central America to US
Sub-Saharan Africa,2016,Mar,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Drowning,France,"-12.820932600000, 45.018986300000",Unknown
Europe,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,France,"50.951880300000, 1.833936700000",Unknown
Mediterranean,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Asphyxiation,"Lesvos, Greece","39.097108100000, 26.547693300000",Eastern Mediterranean
US-Mexico Border,2016,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.965203600000, -113.011894500000",Central America to US
Horn of Africa,2016,Mar,4.0,Unknown,4,Unknown,Unknown,Unknown,Unknown,Drowning,Yemen,"12.433975800000, 46.420758400000",Horn Africa to Yemen
North Africa,2016,Mar,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","15.350333700000, 32.437494900000",Unknown
North Africa,2016,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Accident,"Sahara desert, Sudan","19.643823700000, 24.429326800000",Unknown
North Africa,2016,Feb,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Accident,Libya,"31.685465887849, 14.053676000000",Unknown
North Africa,2016,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Murdered,Libya,"32.869909578058, 13.202324628125",Unknown
North Africa,2016,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Dehydration,Libya,"32.435246183556, 7.711646513256",Unknown
US-Mexico Border,2016,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.041738400000, -98.308436400000",Central America to US
Middle East,2016,Feb,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,Syria,"36.718882500000, 39.488952400000",Unknown
Middle East,2016,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Syria,"36.504474100000, 40.708528000000",Unknown
US-Mexico Border,2016,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","26.327786500000, -98.724003800000",Central America to US
US-Mexico Border,2016,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.965203600000, -113.011894500000",Central America to US
Mediterranean,2016,Feb,5.0,Unknown,5,403.0,3.0,2.0,Unknown,Asphyxiation,Italy,"37.720242300000, 10.285804200000",Central Mediterranean
US-Mexico Border,2016,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,Mexico,"32.534930300000, -117.041313800000",Central America to US
North Africa,2016,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Egypt,"21.906769500000, 30.822252900000",Unknown
North Africa,2016,Feb,13.0,Unknown,13,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"23.248841300000, 19.724216100000",Unknown
North Africa,2016,Feb,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","14.031672200000, 35.341772300000",Unknown
North Africa,2016,Feb,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"23.248841300000, 19.724216100000",Unknown
North Africa,2016,Feb,6.0,Unknown,6,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"23.248841300000, 19.724216100000",Unknown
North Africa,2016,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Suffocation,"Sahara desert, Sudan","15.501534100000, 32.502556100000",Unknown
North Africa,2016,Feb,10.0,Unknown,10,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","14.031672200000, 35.341772300000",Unknown
North Africa,2016,Feb,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"23.248841300000, 19.724216100000",Unknown
North Africa,2016,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","13.973173700000, 35.343169100000",Unknown
North Africa,2016,Feb,30.0,Unknown,30,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"26.139565200000, 14.726786600000",Unknown
North Africa,2016,Feb,5.0,Unknown,5,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","15.501534100000, 32.502556100000",Unknown
North Africa,2016,Feb,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"23.248841300000, 19.724216100000",Unknown
North Africa,2016,Feb,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"23.248841300000, 19.724216100000",Unknown
North Africa,2016,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","16.679729400000, 33.429765500000",Unknown
North Africa,2016,Feb,28.0,Unknown,28,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"23.248841300000, 19.724216100000",Unknown
North Africa,2016,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","13.973173700000, 35.343169100000",Unknown
North Africa,2016,Feb,6.0,Unknown,6,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"27.029507800000, 14.389083500000",Unknown
North Africa,2016,Feb,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","13.973173700000, 35.343169100000",Unknown
North Africa,2016,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Starvation,Libya,"23.248841300000, 19.724216100000",Unknown
North Africa,2016,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Egypt,"23.285107000000, 31.520455700000",Unknown
US-Mexico Border,2016,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","26.547504500000, -98.866289900000",Central America to US
Central America,2016,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"18.268156600000, -95.896946100000",Central America to US
Mediterranean,2016,Feb,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Drowning,Italy,"37.308839200000, 13.322824900000",Central Mediterranean
North Africa,2016,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Suffocation,Egypt,"27.765170100000, 30.665442300000",Unknown
North Africa,2016,Feb,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","15.501534100000, 32.502556100000",Unknown
US-Mexico Border,2016,Feb,4.0,Unknown,4,Unknown,Unknown,4.0,Unknown,Accident,"Texas, USA","27.715588900000, -99.698746100000",Central America to US
North Africa,2016,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","19.428332000000, 25.906288500000",Unknown
North Africa,2016,Feb,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","15.455814400000, 36.378757100000",Unknown
North Africa,2016,Feb,6.0,Unknown,6,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"30.272374300000, 19.074105200000",Unknown
North Africa,2016,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","16.679729400000, 33.429765500000",Unknown
North Africa,2016,Feb,25.0,Unknown,25,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"23.248841300000, 19.724216100000",Unknown
North Africa,2016,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","14.031672200000, 35.341772300000",Unknown
